Landslide_ID,Latitude,Longitude,State,District,Date_Occurred,Landslide_Type,Area_sqm,Casualties,Damage_Level,Trigger,Validation_Status
LS_00028,11.14408,72.465514,Sikkim,Chikmagalur,2005-03-31,Rock fall,11375.616125972614,1,Medium,Heavy Rainfall,Satellite Identified
LS_00029,17.437424,76.485551,Uttarakhand,Chamoli,2019-12-02,Earth slide,10905.662846983067,0,Medium,Heavy Rainfall,Field Verified
LS_00030,19.681204,75.032145,Uttarakhand,Lahaul Spiti,2008-09-28,Debris slide,46.19802805497205,0,Medium,Heavy Rainfall,Field Verified
LS_00031,31.841137,88.529799,Himachal Pradesh,Hassan,2019-10-20,Earth flow,5277.207410676244,0,Medium,Heavy Rainfall,Satellite Identified
LS_00032,33.22544,87.642291,Sikkim,Shimla,2019-04-28,Debris flow,9459.780387317005,0,Low,Heavy Rainfall,Satellite Identified
LS_00033,11.447631,73.219948,Sikkim,South Garo Hills,2007-07-03,Rock slide,18061.54703081463,0,Medium,Heavy Rainfall,Satellite Identified
LS_00034,14.534282,74.884519,Tamil Nadu,Pathanamthitta,2015-11-25,Topple,3391.467166708467,0,Medium,Heavy Rainfall,Field Verified
LS_00035,32.518306,77.719324,Kerala,Pithoragarh,2009-02-13,Earth slide,14105.415736366516,2,High,Heavy Rainfall,Field Verified
LS_00036,34.49823,82.991867,Kerala,Dakshina Kannada,2022-11-06,Rock slide,17004.21008061028,2,Medium,Heavy Rainfall,Satellite Identified
LS_00037,33.957957,80.655362,Uttarakhand,Lahaul Spiti,2001-03-09,Debris slide,928.5930814787739,0,High,Heavy Rainfall,Satellite Identified
LS_00038,28.680235,86.915152,Himachal Pradesh,Chikmagalur,2012-10-27,Rock slide,23052.848739231587,0,Low,Human Activity,Satellite Identified
LS_00039,17.061205,75.51242,Kerala,Hassan,2019-10-11,Earth flow,2227.4617115747456,0,Medium,Earthquake,Satellite Identified
LS_00040,19.872127,74.556712,Meghalaya,Malappuram,2008-11-25,Rock slide,3480.921887755996,0,Medium,Heavy Rainfall,Satellite Identified
LS_00041,34.230037,81.097898,Assam,Wayanad,2002-05-08,Complex landslide,2354.683943637782,0,Low,Heavy Rainfall,Satellite Identified
LS_00042,15.05438,73.432706,Uttarakhand,West Garo Hills,2018-12-13,Debris slide,4468.1626507308765,0,Low,Earthquake,Satellite Identified
LS_00043,28.889424,84.967108,Tamil Nadu,Chamoli,2016-01-23,Rock slide,7348.239702228676,0,Medium,Heavy Rainfall,Field Verified
LS_00044,31.719482,85.353338,Sikkim,Pathanamthitta,2006-07-14,Earth flow,5072.68724102308,0,High,Heavy Rainfall,Satellite Identified
LS_00045,18.337421,73.354161,Karnataka,Pathanamthitta,2006-03-26,Rock slide,2889.917156366507,0,Low,Snowmelt,Satellite Identified
LS_00046,32.871819,82.588012,Sikkim,Chamoli,2017-11-17,Rock fall,951.5326807105437,0,Low,Heavy Rainfall,Satellite Identified
LS_00047,32.621382,79.878612,Kerala,Shimla,2002-03-09,Complex landslide,15490.517492781533,0,Low,Heavy Rainfall,Satellite Identified
LS_00048,11.220503,73.779863,Kerala,Kozhikode,2019-08-05,Rock fall,7090.909238783566,0,Low,Heavy Rainfall,Field Verified
LS_00049,33.988224,88.776815,Uttarakhand,Kozhikode,2015-01-01,Debris flow,3213.9229720644616,0,Low,Heavy Rainfall,Field Verified
LS_00050,13.640071,73.992524,Assam,South Garo Hills,2010-10-18,Topple,4783.612164565672,0,Low,Heavy Rainfall,Satellite Identified
LS_00051,31.521954,91.986287,Karnataka,Kinnaur,2006-07-09,Rock fall,5374.873820274989,0,Low,Heavy Rainfall,Field Verified
LS_00052,32.100429,93.744835,Uttarakhand,Tehri Garhwal,2012-01-26,Topple,4283.912227887722,0,Medium,Heavy Rainfall,Satellite Identified
LS_00053,34.590254,82.108155,Sikkim,Pithoragarh,2000-07-20,Earth flow,16245.459307533769,1,Low,Heavy Rainfall,Field Verified
LS_00054,28.127553,75.983302,Kerala,Kozhikode,2001-01-18,Debris slide,5744.374362885836,0,Low,Earthquake,Field Verified
LS_00055,33.701279,79.91895,Arunachal Pradesh,Pithoragarh,1999-10-14,Complex landslide,628.7505991455382,0,Medium,Human Activity,Satellite Identified
LS_00056,18.445252,73.410173,Kerala,West Garo Hills,2009-09-12,Earth slide,976.6664802022349,0,Medium,Snowmelt,Satellite Identified
LS_00057,30.604127,90.304672,Assam,Uttarkashi,2009-11-30,Debris flow,2083.6683546537656,1,Medium,Heavy Rainfall,Satellite Identified
LS_00058,17.809057,72.515619,Himachal Pradesh,Rudraprayag,2012-03-08,Topple,11642.22840433816,0,Medium,Heavy Rainfall,Satellite Identified
LS_00059,30.724412,74.227591,Sikkim,Kinnaur,2001-04-15,Debris flow,11789.536484812268,0,Low,Snowmelt,Report Based
LS_00060,32.014065,87.268581,Himachal Pradesh,Lahaul Spiti,2013-08-28,Earth slide,2975.073318114288,0,Low,Heavy Rainfall,Satellite Identified
LS_00061,18.290528,75.948091,Meghalaya,Hassan,2005-01-28,Debris flow,478.1847327015972,0,Low,Heavy Rainfall,Satellite Identified
LS_00062,34.213929,81.369215,Karnataka,West Garo Hills,2022-11-17,Debris slide,622.5298877622544,0,Medium,Heavy Rainfall,Field Verified
LS_00063,28.588748,88.720352,Himachal Pradesh,Chamoli,2009-11-12,Earth flow,377.7304476289857,0,Medium,Heavy Rainfall,Field Verified
LS_00064,20.826315,73.871354,Arunachal Pradesh,Kinnaur,2010-08-22,Earth slide,2315.2763023765624,0,High,Snowmelt,Satellite Identified
LS_00065,30.633817,75.753515,Sikkim,Kodagu,2009-11-04,Debris flow,7506.212702273128,0,Low,Human Activity,Field Verified
LS_00066,31.448376,74.238427,Assam,Mandi,2002-02-21,Rock fall,3161.771847914631,0,Low,Heavy Rainfall,Satellite Identified
LS_00067,33.222314,86.250744,Jammu & Kashmir,East Khasi Hills,2012-12-17,Debris flow,16373.601045511885,0,Low,Human Activity,Field Verified
LS_00068,34.742558,74.255244,Sikkim,South Garo Hills,2017-10-27,Complex landslide,17512.634614397408,0,Medium,Heavy Rainfall,Report Based
LS_00069,28.516576,85.63094,Himachal Pradesh,South Garo Hills,2003-01-07,Earth flow,17417.876106280026,0,Medium,Heavy Rainfall,Satellite Identified
LS_00070,32.392907,86.270601,Arunachal Pradesh,Hassan,2014-07-25,Earth flow,11571.163847413238,0,Low,Snowmelt,Satellite Identified
LS_00071,13.923538,75.100663,Uttarakhand,Kullu,2003-09-20,Earth slide,1624.3670994756508,0,Low,Heavy Rainfall,Satellite Identified
LS_00072,28.544142,94.462291,Kerala,West Garo Hills,2014-01-19,Rock slide,21419.32787776269,0,Low,Heavy Rainfall,Satellite Identified
LS_00073,32.793118,77.414956,Sikkim,Malappuram,2013-11-12,Earth flow,12091.505459995637,0,High,Heavy Rainfall,Satellite Identified
LS_00074,30.927701,93.587298,Jammu & Kashmir,Malappuram,2005-04-16,Rock fall,10051.9619002346,0,Low,Heavy Rainfall,Satellite Identified
LS_00075,34.910933,77.158755,Assam,West Garo Hills,2012-11-25,Rock slide,4508.620651078679,0,High,Earthquake,Satellite Identified
LS_00076,14.093011,74.074098,Himachal Pradesh,Kozhikode,2005-02-21,Rock fall,1596.944460750306,0,Medium,Earthquake,Report Based
LS_00077,20.956279,74.777159,Kerala,Pathanamthitta,2007-12-24,Earth slide,7326.415451031304,2,Medium,Heavy Rainfall,Satellite Identified
LS_00078,9.679072,76.770255,Kerala,Rudraprayag,2008-03-17,Rock slide,4659.23851294309,0,Medium,Heavy Rainfall,Satellite Identified
LS_00079,9.476249,75.357866,Karnataka,Pithoragarh,2012-09-22,Debris flow,3673.0521209301887,0,Low,Human Activity,Satellite Identified
LS_00080,15.292194,76.383268,Assam,West Garo Hills,2020-11-07,Earth slide,2583.236569940585,0,Low,Earthquake,Satellite Identified
LS_00081,32.928558,78.472247,Karnataka,Shimla,2003-03-05,Debris flow,733.0627561413933,0,Low,Heavy Rainfall,Satellite Identified
LS_00082,31.062324,92.987333,Arunachal Pradesh,Malappuram,2002-11-12,Earth slide,2140.5130721255587,0,Medium,Heavy Rainfall,Satellite Identified
LS_00083,19.210728,76.747603,Arunachal Pradesh,Chikmagalur,2017-07-29,Debris slide,795.4093965741798,1,Low,Heavy Rainfall,Satellite Identified
LS_00084,20.740423,74.46309,Karnataka,Tehri Garhwal,2006-07-12,Complex landslide,1993.080160502499,0,Low,Heavy Rainfall,Field Verified
LS_00085,28.896321,77.189957,Sikkim,West Garo Hills,2021-04-28,Rock slide,747.3003303375827,0,Low,Heavy Rainfall,Satellite Identified
LS_00086,14.161501,75.337789,Himachal Pradesh,West Garo Hills,2017-05-07,Earth slide,945.6425855660824,0,Low,Heavy Rainfall,Field Verified
LS_00087,10.301136,72.443513,Karnataka,Chikmagalur,2003-08-04,Debris flow,642.7810674667627,0,Low,Heavy Rainfall,Satellite Identified
LS_00088,16.975133,72.196561,Assam,South Garo Hills,2012-08-19,Debris flow,8032.471219130598,0,Low,Human Activity,Report Based
LS_00089,28.427546,79.814431,Assam,West Garo Hills,2006-08-10,Complex landslide,8204.675916133212,0,Low,Heavy Rainfall,Satellite Identified
LS_00090,31.391661,86.98335,Assam,Hassan,2011-07-02,Rock fall,2301.562815001756,0,Medium,Heavy Rainfall,Field Verified
LS_00091,17.273545,76.476034,Kerala,Malappuram,2010-11-14,Earth slide,3583.8955610420044,0,Low,Heavy Rainfall,Satellite Identified
LS_00092,11.152117,73.346216,Meghalaya,West Garo Hills,2017-10-26,Rock slide,2368.32492401236,0,Low,Heavy Rainfall,Satellite Identified
LS_00093,9.556908,76.452636,Himachal Pradesh,Kullu,2005-08-12,Earth slide,4501.994069397799,0,Medium,Heavy Rainfall,Field Verified
LS_00094,31.759746,86.323663,Karnataka,Lahaul Spiti,2008-07-15,Rock slide,6841.083244042046,0,Low,Heavy Rainfall,Satellite Identified
LS_00095,32.521421,85.986344,Uttarakhand,Lahaul Spiti,1999-02-05,Topple,2201.033798259031,3,Medium,Heavy Rainfall,Field Verified
LS_00096,29.070014,79.165112,Assam,East Khasi Hills,2018-06-06,Rock slide,875.8243747714702,0,Low,Heavy Rainfall,Satellite Identified
LS_00097,9.043039,74.622557,Assam,Lahaul Spiti,2020-03-05,Earth flow,2641.5277824465115,3,Low,Heavy Rainfall,Report Based
LS_00098,34.05855,91.158513,Assam,Lahaul Spiti,2002-10-13,Earth flow,1491.3754176675232,0,Medium,Human Activity,Satellite Identified
LS_00099,15.430965,73.399895,Sikkim,Lahaul Spiti,2000-04-02,Debris slide,7337.3687920604425,0,Low,Heavy Rainfall,Satellite Identified
LS_00100,11.151327,72.574184,Meghalaya,West Garo Hills,2003-12-25,Earth slide,4715.998287146783,0,Low,Heavy Rainfall,Satellite Identified
LS_00101,14.923663,72.259118,Assam,Hassan,2020-08-23,Topple,2051.9180069021163,0,Low,Snowmelt,Satellite Identified
LS_00102,33.669121,79.347454,Meghalaya,Mandi,2019-04-18,Rock slide,5720.706755101758,0,Low,Heavy Rainfall,Satellite Identified
LS_00103,12.535287,76.647646,Meghalaya,East Khasi Hills,2021-05-20,Rock slide,8878.03535570899,2,Low,Heavy Rainfall,Report Based
LS_00104,10.35603,72.332481,Himachal Pradesh,South Garo Hills,2017-09-24,Debris flow,6756.9657659431105,0,Medium,Heavy Rainfall,Satellite Identified
LS_00105,29.411391,77.436775,Tamil Nadu,Idukki,2010-03-10,Debris slide,897.2232827997535,0,Medium,Heavy Rainfall,Satellite Identified
LS_00106,34.140404,82.241347,Kerala,Kozhikode,2004-10-07,Earth flow,8480.413314240348,0,Low,Heavy Rainfall,Satellite Identified
LS_00107,33.233266,84.557128,Assam,Malappuram,2000-11-18,Earth slide,1321.2126549853263,0,Low,Heavy Rainfall,Report Based
LS_00108,16.115094,72.58449,Uttarakhand,Kinnaur,2016-08-26,Complex landslide,14053.083419661045,0,Low,Heavy Rainfall,Satellite Identified
LS_00109,16.060946,74.667305,Arunachal Pradesh,Kozhikode,1998-11-17,Topple,11216.516652682227,0,Low,Heavy Rainfall,Field Verified
LS_00110,33.207624,74.704181,Karnataka,Kozhikode,2013-10-12,Complex landslide,4218.567781930715,0,Medium,Heavy Rainfall,Satellite Identified
LS_00111,28.774422,91.775498,Kerala,Mandi,2019-11-26,Complex landslide,681.8981526403542,0,Medium,Heavy Rainfall,Field Verified
LS_00112,17.389283,75.600183,Assam,Idukki,1999-04-21,Complex landslide,5124.221043686954,0,Low,Heavy Rainfall,Satellite Identified
LS_00113,29.271184,93.077462,Jammu & Kashmir,Udupi,2018-12-19,Rock fall,4378.045273182993,0,Low,Human Activity,Field Verified
LS_00114,15.620988,74.529443,Himachal Pradesh,East Khasi Hills,1999-03-21,Complex landslide,4726.721590015363,0,Medium,Human Activity,Satellite Identified
LS_00115,32.876556,93.372487,Jammu & Kashmir,Tehri Garhwal,2018-09-17,Debris flow,6141.987266962591,0,Low,Heavy Rainfall,Satellite Identified
LS_00116,17.573775,76.671835,Kerala,Pathanamthitta,2012-09-07,Earth slide,12989.381065270587,0,Low,Snowmelt,Satellite Identified
LS_00117,9.620615,76.604209,Karnataka,Malappuram,2015-01-03,Debris flow,10197.119656134317,0,Low,Heavy Rainfall,Field Verified
LS_00118,30.346381,90.859922,Uttarakhand,Hassan,2019-02-05,Rock fall,23.213920331714423,0,Low,Heavy Rainfall,Report Based
LS_00119,12.502498,73.734766,Himachal Pradesh,East Khasi Hills,2008-01-22,Rock fall,6687.544758327828,0,Low,Heavy Rainfall,Field Verified
LS_00120,29.234709,84.465723,Kerala,Rudraprayag,2009-02-03,Earth flow,2714.3810812800352,1,Low,Heavy Rainfall,Satellite Identified
LS_00121,28.091661,87.934285,Meghalaya,West Garo Hills,2003-08-31,Debris slide,980.293200996241,2,Low,Heavy Rainfall,Field Verified
LS_00122,34.97812,84.546095,Karnataka,Wayanad,2018-11-11,Earth flow,4524.096620444729,0,Medium,Heavy Rainfall,Satellite Identified
LS_00123,29.435977,78.004442,Karnataka,Chamoli,2005-05-07,Rock fall,186.17170928836083,0,Low,Heavy Rainfall,Satellite Identified
LS_00124,13.892755,74.621951,Assam,South Garo Hills,2014-11-02,Rock slide,2905.9073589379013,0,Low,Heavy Rainfall,Field Verified
LS_00125,34.032499,93.868425,Himachal Pradesh,South Garo Hills,2008-11-22,Debris flow,2336.5109373756927,0,Medium,Heavy Rainfall,Field Verified
LS_00126,29.093068,89.035417,Tamil Nadu,Hassan,1999-11-04,Complex landslide,5378.248911587679,0,Low,Heavy Rainfall,Satellite Identified
LS_00127,8.256237,72.520543,Sikkim,East Khasi Hills,2001-02-03,Earth slide,8045.0921364812075,0,Medium,Heavy Rainfall,Field Verified
LS_00128,29.702205,89.167606,Meghalaya,Chamoli,2016-11-04,Complex landslide,9679.181687269647,0,Low,Heavy Rainfall,Field Verified
LS_00129,11.81092,76.481679,Jammu & Kashmir,Malappuram,2018-08-16,Earth flow,65.43594198142502,0,Low,Heavy Rainfall,Field Verified
LS_00130,15.57954,74.107123,Meghalaya,Pathanamthitta,2022-02-21,Complex landslide,11159.315104109137,0,Low,Heavy Rainfall,Satellite Identified
LS_00131,15.673834,73.340318,Kerala,Pithoragarh,2012-06-16,Debris flow,4892.811227735438,0,Low,Heavy Rainfall,Field Verified
LS_00132,20.329893,75.818029,Meghalaya,Dakshina Kannada,2008-12-09,Complex landslide,754.7724906151043,0,Low,Human Activity,Satellite Identified
LS_00133,13.527776,72.112347,Meghalaya,Idukki,1999-04-16,Earth flow,1564.5027388824335,0,Medium,Heavy Rainfall,Field Verified
LS_00134,18.854093,76.922011,Tamil Nadu,Mandi,2007-07-08,Earth slide,3729.4727348604347,0,Low,Heavy Rainfall,Report Based
LS_00135,9.530764,74.882582,Sikkim,Rudraprayag,2010-05-24,Rock slide,1601.4066430139644,0,Medium,Earthquake,Field Verified
LS_00136,28.076971,76.874598,Assam,Kodagu,2008-10-29,Rock slide,11513.857644265909,0,Low,Heavy Rainfall,Satellite Identified
LS_00137,10.279827,76.57206,Meghalaya,Rudraprayag,2020-01-07,Debris slide,2713.04817173159,0,Low,Heavy Rainfall,Field Verified
LS_00138,17.594437,72.413993,Assam,South Garo Hills,2007-12-10,Rock slide,4621.011094925578,0,Low,Heavy Rainfall,Satellite Identified
LS_00139,17.347597,73.485609,Meghalaya,Hassan,2014-07-22,Earth slide,4178.217653528511,0,Medium,Human Activity,Satellite Identified
LS_00140,10.794225,72.155916,Tamil Nadu,Wayanad,2022-09-09,Topple,1520.8465100279395,0,Low,Heavy Rainfall,Satellite Identified
LS_00141,12.345171,75.854561,Karnataka,Lahaul Spiti,2011-10-03,Debris slide,563.59457382339,0,Medium,Heavy Rainfall,Satellite Identified
LS_00142,31.043791,79.174443,Himachal Pradesh,Hassan,2012-02-26,Earth flow,8549.11849285598,0,Medium,Heavy Rainfall,Satellite Identified
LS_00143,30.526817,75.923224,Meghalaya,Mandi,2007-09-16,Debris flow,12463.499217688208,0,High,Heavy Rainfall,Field Verified
LS_00144,31.793307,92.331863,Karnataka,Lahaul Spiti,2006-09-16,Earth slide,6588.038895652368,0,Medium,Heavy Rainfall,Satellite Identified
LS_00145,29.747676,84.277924,Uttarakhand,South Garo Hills,2011-07-24,Earth flow,1250.0656455306116,3,High,Heavy Rainfall,Satellite Identified
LS_00146,20.028228,72.902877,Uttarakhand,Hassan,2000-01-16,Debris flow,4196.014588229511,1,Low,Heavy Rainfall,Field Verified
LS_00147,34.470773,94.392223,Himachal Pradesh,Rudraprayag,2020-01-08,Debris flow,14435.868406204872,0,Medium,Earthquake,Satellite Identified
LS_00148,18.775901,72.185038,Meghalaya,Idukki,2019-06-23,Earth flow,4535.043201439034,0,Low,Heavy Rainfall,Satellite Identified
LS_00149,30.379125,89.220102,Meghalaya,Chamoli,2009-04-29,Debris slide,337.94967744737164,0,Low,Earthquake,Satellite Identified
LS_00150,16.136588,76.429889,Himachal Pradesh,Dakshina Kannada,2020-01-22,Rock fall,4783.782545360431,0,Low,Human Activity,Field Verified
LS_00151,34.122912,85.10768,Arunachal Pradesh,Kullu,2004-09-10,Debris slide,13989.959213963315,0,High,Heavy Rainfall,Satellite Identified
LS_00152,30.813516,84.077388,Sikkim,Malappuram,2003-04-25,Rock slide,4937.664538140577,0,High,Earthquake,Satellite Identified
LS_00153,13.477641,75.687912,Meghalaya,Kullu,2018-03-18,Complex landslide,1364.1456002979714,0,Low,Heavy Rainfall,Field Verified
LS_00154,11.036901,72.210466,Arunachal Pradesh,Chamoli,2000-09-13,Rock slide,90.1780141597453,3,Low,Heavy Rainfall,Satellite Identified
LS_00155,29.527777,93.949185,Himachal Pradesh,Shimla,2009-11-14,Rock slide,7716.963909377931,0,Low,Human Activity,Report Based
LS_00156,31.271811,86.881639,Himachal Pradesh,Shimla,2022-10-05,Rock fall,913.8119462839927,5,Low,Human Activity,Satellite Identified
LS_00157,15.900578,74.563443,Arunachal Pradesh,Kodagu,2018-03-18,Debris flow,1311.1751402598131,0,Low,Heavy Rainfall,Satellite Identified
LS_00158,30.450877,75.214696,Karnataka,South Garo Hills,2008-05-20,Debris flow,17385.42108263387,0,High,Snowmelt,Field Verified
LS_00159,13.151146,75.791192,Kerala,Mandi,2001-03-12,Rock slide,5953.977012106687,0,Medium,Heavy Rainfall,Field Verified
LS_00160,14.980667,74.9647,Sikkim,Lahaul Spiti,2003-02-24,Earth flow,4338.529227647337,0,Medium,Heavy Rainfall,Field Verified
LS_00161,19.553725,76.778257,Himachal Pradesh,Tehri Garhwal,2004-05-19,Earth flow,9907.133922374811,0,Medium,Heavy Rainfall,Field Verified
LS_00162,13.309892,73.863443,Meghalaya,Chamoli,2010-12-12,Topple,1503.8621173814224,0,Low,Heavy Rainfall,Field Verified
LS_00163,16.882364,72.380654,Karnataka,Chikmagalur,2016-01-21,Topple,9525.993115221025,0,Low,Heavy Rainfall,Satellite Identified
LS_00164,12.52152,75.390081,Arunachal Pradesh,Tehri Garhwal,2001-08-10,Complex landslide,4170.4667051748675,0,Medium,Earthquake,Satellite Identified
LS_00165,19.057562,76.336471,Uttarakhand,Pithoragarh,2009-03-26,Rock slide,6161.226604546555,0,Medium,Heavy Rainfall,Satellite Identified
LS_00166,33.269016,77.330707,Arunachal Pradesh,Tehri Garhwal,2010-02-02,Earth flow,10637.731590260766,0,Low,Earthquake,Field Verified
LS_00167,12.356545,75.717541,Meghalaya,Mandi,2021-04-12,Earth flow,876.2921736478158,0,Medium,Heavy Rainfall,Field Verified
LS_00168,11.731496,75.084635,Himachal Pradesh,Kodagu,2020-01-22,Earth slide,19865.81733987204,0,Low,Heavy Rainfall,Satellite Identified
LS_00169,18.13799,72.534903,Tamil Nadu,West Garo Hills,2012-12-13,Debris slide,7157.042403682414,0,High,Heavy Rainfall,Satellite Identified
LS_00170,34.524197,76.152704,Assam,South Garo Hills,2012-10-17,Topple,13841.269634193843,0,Low,Heavy Rainfall,Satellite Identified
LS_00171,8.875558,74.910852,Sikkim,Tehri Garhwal,2015-12-19,Topple,2122.3456575568057,0,Low,Human Activity,Report Based
LS_00172,34.782145,89.742688,Karnataka,Idukki,2012-02-10,Debris slide,696.8059941690288,0,Low,Heavy Rainfall,Satellite Identified
LS_00173,14.352361,75.852037,Uttarakhand,West Garo Hills,2021-01-31,Topple,5748.928634454094,0,Low,Snowmelt,Satellite Identified
LS_00174,13.868031,72.818119,Kerala,Chikmagalur,2000-06-07,Earth slide,7919.083503186542,0,Low,Heavy Rainfall,Satellite Identified
LS_00175,16.508646,73.366298,Uttarakhand,Kinnaur,2017-10-30,Debris flow,15065.772031925546,0,Low,Human Activity,Satellite Identified
LS_00176,32.469682,82.349482,Meghalaya,South Garo Hills,2010-12-03,Topple,1602.5086503344064,3,Low,Human Activity,Field Verified
LS_00177,29.491733,74.653816,Arunachal Pradesh,Lahaul Spiti,1999-04-18,Earth flow,5272.979294379948,0,Medium,Heavy Rainfall,Report Based
LS_00178,10.411832,76.343116,Uttarakhand,Hassan,2022-09-16,Complex landslide,7493.886523371488,0,Medium,Earthquake,Satellite Identified
LS_00179,28.918714,74.68305,Himachal Pradesh,Pathanamthitta,2008-01-30,Debris slide,12681.91650907132,0,Medium,Heavy Rainfall,Field Verified
LS_00180,28.876301,88.396871,Karnataka,Chikmagalur,2020-05-10,Debris flow,2813.2785996209514,0,Low,Heavy Rainfall,Satellite Identified
LS_00181,11.496914,75.987796,Meghalaya,Lahaul Spiti,2019-08-24,Topple,1857.941985900969,0,Low,Heavy Rainfall,Satellite Identified
LS_00182,31.359572,86.600432,Kerala,Udupi,2015-03-17,Earth flow,1724.1735753722908,0,Medium,Earthquake,Field Verified
LS_00183,31.363549,76.203534,Assam,Idukki,2010-05-24,Debris flow,1385.6564139235911,3,Low,Heavy Rainfall,Satellite Identified
LS_00184,32.917255,85.752622,Karnataka,Dakshina Kannada,2010-09-09,Topple,49.09447692281613,0,Low,Heavy Rainfall,Satellite Identified
LS_00185,28.232422,75.650148,Sikkim,Kodagu,2018-01-12,Earth slide,2528.554267677974,0,Low,Heavy Rainfall,Satellite Identified
LS_00186,10.601953,72.837413,Sikkim,Kozhikode,2022-10-04,Topple,552.2440864253783,0,Medium,Heavy Rainfall,Report Based
LS_00187,8.675627,74.706482,Kerala,Dakshina Kannada,2006-06-18,Complex landslide,6173.200020306195,0,Medium,Earthquake,Satellite Identified
LS_00188,33.703776,75.682412,Uttarakhand,Idukki,2016-06-05,Topple,11260.251593926081,0,Medium,Heavy Rainfall,Satellite Identified
LS_00189,14.843235,75.657948,Jammu & Kashmir,Kodagu,2015-04-27,Rock fall,425.7744994447808,0,Low,Heavy Rainfall,Satellite Identified
