Point_ID,Latitude,Longitude,Elevation,Slope,Aspect,Curvature,TRI,TPI,Annual_Precipitation,Monsoon_Precipitation,Max_Daily_Precipitation,Antecedent_Rainfall_7d,Antecedent_Rainfall_15d,Antecedent_Rainfall_30d,Mean_Temperature,Min_Temperature,Max_Temperature,Temperature_Range,Lithology,Fault_Density,Distance_to_Fault,NDVI,Land_Use,Forest_Cover,Distance_to_Road,Road_Density,Slope_Precipitation,Elevation_Slope,Aspect_Relief,Susceptibility_Score,Susceptibility_Class
P_000015,26.874011,71.371937,4746.16,8.62,96.43,0.0381,30.2,-14.79,306.2,207.3,32.6,45.8,490.3,183.7,16.2,9.9,22.5,12.7,7,0.526,1904.7,0.811,2,0.129,2052.2,0.296,2.64,4.62,0.0378,1.05,1
P_000016,20.744496,82.39336,3571.47,17.03,151.52,-0.0388,48.07,12.58,139.0,99.9,20.5,84.3,394.8,32.6,7.2,-3.8,18.2,22.0,2,0.552,1565.6,0.605,2,0.161,1813.6,2.7,2.37,6.87,-0.0185,4.09,3
P_000017,16.272086,74.937122,6963.16,0.87,132.98,0.0403,25.29,16.73,525.9,412.2,44.0,79.3,204.6,120.1,7.5,3.8,11.2,7.4,2,0.347,3670.7,0.797,2,0.027,893.8,2.265,0.46,0.69,0.0295,1.14,1
P_000018,32.05967,88.414163,8367.32,7.89,238.31,0.081,23.24,-8.13,250.8,188.7,37.6,166.4,266.0,436.0,8.4,-1.3,18.1,19.4,4,1.123,5048.2,0.767,4,0.006,869.4,0.627,1.98,7.46,-0.0689,1.62,1
P_000019,27.481599,79.435893,11.36,1.92,192.44,0.0486,33.76,15.9,885.4,551.0,10.7,183.3,258.1,900.6,8.5,-3.9,20.9,24.8,2,0.006,11922.2,0.757,6,0.062,208.1,0.49,1.7,0.0,-0.0105,1.94,1
P_000020,17.082279,73.186391,7980.15,7.59,88.3,-0.0631,22.42,11.4,4000.0,2925.6,98.7,83.4,34.2,469.3,20.4,11.4,29.4,18.0,7,0.29,4628.9,0.253,7,0.212,395.4,0.488,30.37,6.85,-0.0631,3.52,2
P_000021,20.71066,75.618106,1457.42,17.53,185.25,-0.0587,10.01,8.63,90.0,58.0,3.8,167.3,279.2,559.9,26.5,17.3,35.7,18.4,3,0.514,78.2,0.378,1,0.526,1468.7,0.412,1.58,2.89,0.0054,4.2,3
P_000022,33.602258,83.306551,4579.99,12.94,269.75,0.2321,24.12,6.03,118.0,98.0,68.8,37.4,73.1,727.7,7.2,-4.1,18.5,22.6,2,0.449,5497.6,0.308,1,0.078,807.8,0.718,1.53,6.7,-0.2321,3.11,2
P_000023,8.969369,78.63581,2097.6,8.89,26.06,0.0134,47.71,2.64,969.1,852.1,0.3,137.9,466.7,60.2,7.9,1.1,14.6,13.5,8,0.391,1499.3,0.61,1,0.233,1331.6,0.179,8.62,2.11,0.0059,2.13,1
P_000024,21.438339,85.383486,1515.43,20.3,108.95,-0.0954,34.41,4.53,164.6,119.8,14.2,138.0,60.8,853.9,31.8,27.3,36.2,8.9,5,0.046,993.6,0.584,2,0.022,286.3,0.196,3.34,3.48,-0.0902,5.41,3
P_000025,17.692245,68.74653,3017.59,24.39,323.03,-0.2832,1.54,11.6,2536.4,1531.7,144.8,67.2,83.7,1032.0,5.7,-2.6,14.0,16.6,4,0.124,1120.3,0.674,1,0.366,4294.0,0.189,61.87,8.32,0.1703,5.36,3
P_000026,15.451617,68.606376,1973.9,0.87,37.22,0.0448,21.58,0.92,350.8,309.5,118.2,83.7,87.5,192.0,17.4,7.6,27.1,19.6,3,0.972,5768.2,0.571,2,0.044,172.3,0.304,0.31,0.19,0.0271,4.3,3
P_000027,19.109012,93.203873,5028.49,8.68,24.21,0.0877,23.23,4.17,2141.7,1602.4,6.3,1.4,72.3,478.9,28.7,23.3,34.2,10.9,3,0.273,1057.0,0.815,1,0.578,215.3,0.212,18.6,4.94,0.0359,5.51,4
P_000028,18.377394,68.245093,7425.31,0.49,338.46,0.0088,27.18,9.74,1272.8,911.5,52.1,4.6,11.1,244.4,21.5,10.1,32.9,22.8,1,0.865,471.6,0.572,2,0.302,1224.4,0.337,0.62,0.41,-0.0032,-0.44,0
P_000029,15.473174,93.662876,5105.48,3.75,96.88,-0.0456,24.61,12.84,2550.8,1846.5,38.6,5.1,0.5,112.3,25.4,21.7,29.1,7.4,1,0.265,2087.3,0.438,1,0.219,908.1,0.206,9.56,2.16,-0.0453,3.22,2
P_000030,22.782955,84.972565,3179.43,9.68,130.87,-0.0358,32.05,-10.03,1176.8,963.4,134.3,32.7,600.0,26.1,23.1,20.0,26.2,6.1,7,0.377,2213.4,0.672,2,0.124,321.4,0.017,11.39,3.48,-0.0271,2.96,2
P_000031,36.49692,86.474379,1430.17,35.44,185.85,-0.0184,7.69,1.13,1578.8,1283.2,11.2,23.7,233.1,99.2,18.2,7.8,28.5,20.6,6,0.302,3142.3,0.859,2,0.019,235.1,0.304,55.96,5.73,0.0019,7.98,4
P_000032,10.776872,94.7546,5029.84,6.78,272.35,0.1128,12.87,-0.68,2194.7,1611.9,50.6,25.0,226.1,591.8,19.2,10.5,27.9,17.4,3,1.123,1377.8,0.722,2,0.178,743.3,0.82,14.88,3.86,-0.1127,5.16,3
P_000033,15.123316,71.169104,7028.71,1.56,97.7,-0.1358,42.76,1.39,4000.0,2721.9,2.1,122.1,119.9,42.5,26.2,23.4,29.0,5.6,7,0.075,272.4,0.643,2,0.078,655.2,0.401,6.25,1.24,-0.1346,1.82,1
P_000034,35.510968,72.922996,8544.1,0.22,173.21,0.0734,16.67,21.46,686.4,497.2,66.0,115.8,358.3,115.1,23.3,14.9,31.6,16.7,3,0.333,753.1,0.449,3,0.413,53.4,1.078,0.15,0.22,0.0087,1.91,1
P_000035,24.990028,96.306272,4709.83,35.36,29.89,0.1098,9.55,20.58,2032.9,1822.4,24.6,4.9,323.1,370.9,11.0,3.5,18.4,14.9,6,0.736,1384.8,0.76,1,0.592,125.5,0.532,71.88,18.82,0.0547,7.13,4
P_000036,16.215599,68.007045,1123.13,40.68,312.25,0.0738,30.43,-7.06,4000.0,2848.3,57.2,6.6,100.9,1327.7,21.2,15.8,26.5,10.8,1,0.608,2070.5,0.734,6,0.07,108.9,1.433,162.74,5.16,-0.0546,8.68,4
P_000037,31.057114,73.256257,6299.85,7.29,144.83,-0.0216,24.05,-10.17,566.5,401.6,2.7,115.7,114.6,86.7,29.5,19.0,40.0,21.1,3,0.177,2032.7,0.656,1,0.303,734.3,0.227,4.13,5.19,-0.0124,1.86,1
P_000038,17.715249,74.011193,3342.75,5.71,243.83,0.097,14.48,-6.98,254.8,184.0,138.2,47.4,218.2,117.8,8.8,5.7,11.9,6.2,2,0.086,382.3,0.664,2,0.171,349.7,0.661,1.46,2.16,-0.0871,3.38,2
P_000039,10.830944,94.036078,3095.88,12.02,129.44,0.0295,6.29,7.03,272.3,200.3,79.7,89.3,20.4,317.6,26.1,15.7,36.5,20.9,5,0.083,2476.9,0.868,3,0.058,2444.2,0.799,3.27,4.21,0.0228,2.03,1
P_000040,15.302626,96.449855,5430.09,23.66,30.82,-0.0258,9.17,-12.23,1134.5,917.6,21.0,11.4,14.4,355.6,20.6,10.7,30.5,19.8,4,0.274,1015.3,0.841,5,0.081,77.4,0.357,26.85,14.52,-0.0132,3.79,2
P_000041,25.913143,86.688272,250.73,26.45,283.78,0.046,12.95,-9.51,49.4,32.6,9.8,41.2,108.4,284.1,19.3,14.1,24.5,10.4,1,0.465,1007.5,0.677,2,0.023,230.8,0.291,1.31,0.75,-0.0447,4.45,3
P_000042,29.586678,85.963907,7105.61,8.48,282.89,0.1112,23.12,-0.22,745.3,622.7,86.2,80.9,39.6,252.3,34.0,24.0,44.1,20.1,7,0.017,1261.7,0.712,2,0.042,53.1,0.086,6.32,6.81,-0.1084,2.36,1
P_000043,14.768492,81.147748,4575.49,21.63,161.04,0.0245,39.49,-8.8,204.0,149.1,25.3,136.1,173.9,196.5,10.1,5.4,14.9,9.5,4,0.275,1446.9,0.549,2,0.397,904.0,0.047,4.41,11.19,0.008,1.61,1
P_000044,35.817828,88.754217,6973.64,18.27,212.3,0.0203,22.5,7.67,1050.6,800.0,30.3,23.5,0.7,110.6,20.3,14.0,26.6,12.6,3,1.972,862.4,0.593,1,0.739,139.7,0.185,19.19,14.4,-0.0109,2.63,2
P_000045,11.389484,96.589895,2730.78,2.09,71.67,-0.0671,43.12,1.35,3908.5,2634.4,29.9,2.2,204.7,213.7,13.1,8.5,17.7,9.1,5,0.269,396.1,0.478,4,0.17,2900.1,0.076,8.19,0.65,-0.0637,3.16,2
P_000046,26.642168,79.077421,8465.9,6.01,346.39,-0.0277,40.18,4.85,4000.0,2703.2,28.7,73.4,69.9,6.2,11.6,6.3,16.9,10.6,3,0.094,4131.1,0.541,7,0.001,1275.1,0.726,24.03,5.75,0.0065,4.46,3
P_000047,10.653006,82.902399,2049.05,3.0,291.71,-0.0095,46.93,-11.12,246.7,220.4,258.3,81.1,37.3,152.0,17.7,12.1,23.3,11.2,2,1.792,333.0,0.716,3,0.32,3121.7,1.284,0.74,0.69,0.0089,2.58,2
P_000048,21.262182,92.539622,4002.16,8.28,56.43,0.1216,1.13,-23.93,704.6,587.9,57.0,100.8,480.6,7.3,21.7,11.3,32.1,20.7,4,0.196,292.9,0.49,3,0.374,1624.8,0.234,5.84,3.75,0.1014,1.83,1
P_000049,19.255522,70.775013,8092.24,1.43,233.36,-0.1717,33.98,-15.79,83.3,64.8,73.9,176.1,37.4,910.8,24.7,13.4,36.0,22.6,3,0.39,5027.6,0.496,2,0.051,1132.0,0.095,0.12,1.31,0.1378,1.29,1
P_000050,17.990671,69.784748,2388.73,21.94,318.61,-0.0197,23.52,-15.06,2481.7,2057.0,36.0,111.1,375.9,3.8,17.1,5.5,28.7,23.1,6,0.391,1508.5,0.96,4,0.314,1163.0,0.144,54.46,5.92,0.013,5.41,3
P_000051,26.567277,93.447188,3699.63,36.29,357.54,-0.025,47.52,-3.68,3813.5,2399.9,0.8,17.6,1104.9,79.4,20.1,9.1,31.1,22.0,1,0.464,648.8,0.482,1,0.438,1611.3,0.305,138.39,15.17,0.0011,7.77,4
P_000052,31.987586,80.32507,2437.15,4.62,193.03,0.1572,22.46,-8.64,1521.6,1010.5,11.0,53.2,51.7,350.7,16.1,9.2,23.1,14.0,4,0.114,338.6,0.933,2,0.274,1227.7,0.098,7.03,1.27,-0.0354,2.87,2
P_000053,35.467948,71.94205,4403.2,3.62,21.63,-0.0597,16.28,4.42,915.6,588.9,0.5,165.1,38.8,372.8,15.1,6.8,23.5,16.7,2,0.045,504.5,0.307,1,0.186,637.1,0.426,3.31,1.8,-0.022,1.55,1
P_000054,34.909118,92.022966,2857.72,4.06,94.55,0.1693,25.16,0.31,84.2,68.8,82.0,34.2,218.2,222.5,31.7,20.7,42.6,21.9,4,0.588,4297.1,0.333,2,0.373,440.0,0.167,0.34,1.31,0.1688,2.78,2
P_000055,13.106589,89.556654,2230.31,9.08,138.91,-0.0047,4.0,2.1,112.9,87.8,45.7,54.3,113.1,22.2,20.5,12.9,28.0,15.1,1,0.055,263.8,0.813,1,0.425,19.8,0.556,1.03,2.29,-0.0031,4.47,3
P_000056,12.767388,91.319168,7007.27,2.04,143.48,0.0055,8.51,-8.6,975.0,705.3,147.6,13.5,727.6,104.9,28.2,22.3,34.1,11.8,1,0.976,738.8,0.732,4,0.007,2261.6,0.03,1.99,1.62,0.0033,1.72,1
P_000057,20.681168,79.70291,1211.88,10.6,45.56,-0.0717,23.83,-7.82,786.5,706.0,58.0,184.1,107.2,584.2,6.2,2.5,9.9,7.5,2,0.257,3738.3,0.569,2,0.109,87.6,2.467,8.34,1.45,-0.0512,4.32,3
P_000058,26.858612,77.541166,3463.59,4.56,123.5,0.0703,20.54,0.95,3449.6,2113.1,35.0,87.8,505.6,20.2,22.2,11.2,33.2,22.1,2,1.045,38.5,0.802,1,0.557,657.5,0.066,15.73,1.78,0.0586,2.98,2
P_000059,14.213882,69.87023,5081.35,14.59,182.07,0.03,30.78,2.63,15.4,12.5,27.1,83.4,209.4,172.5,32.5,28.7,36.4,7.7,5,0.002,5171.3,0.782,2,0.005,1290.5,0.599,0.22,8.38,-0.0011,1.21,1
P_000060,17.018218,70.890254,2410.79,26.74,352.97,-0.0279,7.0,-0.04,466.5,360.9,3.9,287.1,90.9,974.8,28.4,18.4,38.5,20.1,5,0.493,2032.2,0.476,4,0.153,586.6,0.423,12.47,7.29,0.0034,2.14,1
P_000061,23.285057,69.107881,5443.42,26.41,56.7,0.1622,8.21,16.34,158.1,141.4,25.0,25.8,37.6,440.6,23.3,14.3,32.2,17.9,1,1.12,986.2,0.917,6,0.062,282.0,0.43,4.18,16.25,0.1355,4.73,3
P_000062,15.961793,91.89874,47.11,12.48,122.11,0.1118,42.57,-13.69,1127.5,965.0,15.4,73.3,119.8,4.7,21.7,12.6,30.8,18.2,4,0.666,1694.2,0.316,3,0.055,1406.0,0.523,14.07,0.07,0.0947,2.17,1
P_000063,26.485916,84.049403,100.78,17.89,135.38,-0.1512,10.19,5.35,499.3,371.0,17.6,72.3,36.2,1521.5,8.2,-3.6,20.1,23.6,8,0.373,2581.3,0.923,3,0.264,87.6,0.027,8.93,0.2,-0.1062,3.81,2
P_000064,15.350257,70.153159,918.2,25.14,13.99,-0.1258,43.58,8.79,796.3,550.8,36.5,48.1,166.2,48.7,34.9,28.2,41.7,13.5,2,0.619,904.8,0.445,5,0.263,3732.6,0.148,20.02,2.61,-0.0304,3.31,2
P_000065,21.227689,68.870587,3514.67,12.71,343.12,0.1336,27.36,0.7,50.0,34.7,42.8,300.8,392.0,103.7,11.6,7.1,16.1,9.0,8,0.958,2982.3,0.976,2,0.008,462.0,0.675,0.63,5.05,-0.0388,3.27,2
P_000066,30.741428,90.135271,6393.67,3.43,121.67,-0.2035,37.75,-3.63,479.4,307.5,25.5,390.8,51.2,378.9,18.0,14.8,21.2,6.4,3,0.606,1439.9,0.49,2,0.201,145.5,0.172,1.65,2.48,-0.1732,3.03,2
P_000067,12.196608,91.525686,1970.0,18.96,339.59,0.2507,23.05,17.4,473.2,351.5,46.2,426.8,555.4,792.6,31.7,24.5,38.9,14.4,5,1.127,998.3,0.562,7,0.053,1498.8,0.402,8.97,4.22,-0.0875,4.34,3
P_000068,27.168241,77.364131,4258.31,14.41,145.77,0.174,20.55,0.85,526.5,380.2,26.3,78.6,156.8,275.0,9.0,1.6,16.5,14.9,2,0.067,5395.6,0.681,3,0.208,1923.8,0.094,7.59,6.94,0.0979,2.44,1
P_000069,15.857933,76.283171,2397.0,29.01,11.48,-0.0188,9.99,-3.53,316.5,265.7,41.4,0.6,112.2,209.6,8.4,-0.8,17.7,18.5,6,0.638,2607.4,0.645,7,0.155,914.5,0.323,9.18,7.86,-0.0037,3.55,2
P_000070,35.05254,70.206457,4433.91,17.42,285.09,0.0834,47.1,1.69,79.8,57.5,1.2,40.0,153.9,966.7,30.4,26.6,34.2,7.5,1,0.445,1519.1,0.754,6,0.101,2630.2,0.303,1.39,8.73,-0.0805,4.36,3
P_000071,29.300124,78.648041,167.06,1.59,178.64,-0.1087,34.77,12.5,1439.3,1167.6,33.9,246.4,134.4,239.3,11.0,5.4,16.6,11.2,1,0.502,571.5,0.859,1,0.26,1162.8,0.502,2.29,0.03,-0.0026,0.97,0
P_000072,12.23449,76.386169,2740.8,11.07,238.93,-0.0972,19.06,-9.28,411.5,313.7,1.2,8.3,108.2,1145.3,26.6,23.3,30.0,6.8,7,0.659,1888.1,0.929,2,0.172,2970.2,1.163,4.55,3.43,0.0833,2.62,2
P_000073,35.359415,70.856345,2345.81,10.25,304.75,0.0301,25.26,-6.0,349.1,286.1,9.0,43.3,61.5,172.2,26.2,20.1,32.4,12.4,4,0.053,3269.7,0.514,6,0.124,201.3,1.426,3.58,2.72,-0.0248,3.12,2
P_000074,17.793612,91.480553,6155.36,21.77,158.83,0.0664,35.82,-12.86,1201.8,1073.0,18.6,61.8,224.2,311.9,30.3,20.2,40.4,20.2,1,3.226,2791.9,0.439,2,0.273,81.5,0.776,26.17,15.15,0.024,4.34,3
P_000075,32.776034,87.916266,4601.69,26.6,150.93,0.0314,9.7,0.44,909.4,765.4,78.4,87.1,303.5,85.2,6.5,-4.7,17.7,22.5,1,0.142,2377.0,0.412,2,0.12,765.4,1.046,24.19,13.83,0.0153,3.39,2
P_000076,21.402074,83.925176,8397.75,90.0,84.75,0.04,36.35,-0.2,804.1,487.9,58.1,34.8,164.1,143.2,10.0,3.4,16.6,13.1,2,0.383,443.4,0.545,1,0.2,750.0,0.364,72.37,85.42,0.0398,5.15,3
P_000077,34.806276,83.923413,5158.37,7.7,341.67,-0.073,42.21,9.42,679.6,576.7,86.5,20.9,241.6,137.4,13.9,8.5,19.4,10.9,6,0.131,1.8,0.446,2,0.184,595.2,0.492,5.24,4.49,0.0229,2.09,1
P_000078,12.244819,73.478965,7604.28,4.44,136.87,0.0368,17.09,8.38,1381.3,836.9,66.5,66.8,335.5,1237.2,32.8,21.2,44.4,23.2,4,0.223,1251.1,0.684,5,0.495,119.1,0.172,6.13,3.82,0.0252,1.31,1
P_000079,25.811328,91.325289,7956.57,14.66,2.03,0.0023,2.17,-22.78,514.1,336.1,52.1,62.4,136.8,223.2,33.7,29.0,38.3,9.3,4,0.666,1627.7,0.525,3,0.063,78.9,0.599,7.54,13.19,0.0001,1.89,1
P_000080,26.089394,73.481501,4153.56,19.11,190.6,-0.1623,30.52,-9.55,3358.4,2691.8,3.9,61.7,443.0,39.7,34.7,22.7,46.7,24.0,1,1.355,902.4,0.445,4,0.014,427.7,0.317,64.19,8.97,0.0298,7.69,4
P_000081,17.689956,71.113472,1288.52,0.51,169.29,0.139,41.34,13.16,135.7,102.0,59.7,88.4,357.7,30.0,25.7,17.9,33.6,15.7,3,0.208,1939.6,0.501,1,0.232,52.2,0.125,0.07,0.07,0.0258,3.68,2
P_000082,12.190941,71.884295,8350.64,24.46,65.04,-0.1721,20.33,11.77,856.5,546.8,67.2,50.6,61.0,188.3,19.9,14.0,25.9,11.9,2,0.254,38.7,0.396,2,0.035,1203.0,0.141,20.95,23.09,-0.156,3.7,2
P_000083,28.947024,73.523253,3912.2,1.11,140.28,0.017,37.08,-15.73,1085.7,935.5,2.4,48.7,34.5,475.4,8.2,-1.0,17.3,18.3,2,0.111,5508.8,0.561,2,0.078,472.2,0.558,1.21,0.49,0.0108,2.58,2
P_000084,25.105197,73.817875,2542.3,2.65,89.75,0.1495,11.24,27.22,3479.4,2291.8,51.3,170.0,164.3,117.8,12.9,10.0,15.8,5.8,2,0.682,97.4,0.612,3,0.072,507.7,0.434,9.22,0.76,0.1495,3.47,2
P_000085,22.741039,68.695288,2769.65,25.71,199.42,0.0089,22.53,-9.97,579.7,493.1,170.9,57.7,100.0,749.8,17.8,9.8,25.8,16.0,2,0.68,1518.5,0.62,5,0.064,2.6,0.3,14.9,8.05,-0.003,5.87,4
P_000086,13.453192,92.930301,2280.62,3.85,173.06,-0.2015,24.94,-7.01,223.2,182.0,73.5,62.1,250.4,532.6,9.1,-3.0,21.3,24.3,7,0.114,412.0,0.456,4,0.282,1159.5,0.009,0.86,0.99,-0.0244,2.02,1
P_000087,8.271004,68.956331,7537.5,17.28,95.53,-0.1409,34.4,-6.57,44.0,38.8,21.2,11.3,135.4,585.2,11.6,6.5,16.8,10.4,2,2.394,439.8,0.795,4,0.441,1452.5,0.207,0.76,14.72,-0.1402,2.85,2
P_000088,31.021241,81.480644,4756.0,79.96,143.68,-0.1236,30.77,-12.86,1427.5,1258.1,39.1,146.3,18.7,94.9,20.1,17.4,22.8,5.4,2,0.364,30.1,0.323,2,0.437,1126.4,0.41,114.14,42.98,-0.0732,5.3,3
P_000089,30.900535,89.425346,5531.87,64.45,192.09,0.081,47.86,-7.25,1432.0,1115.3,30.8,45.3,87.1,404.7,27.5,18.3,36.8,18.6,2,0.341,3137.0,0.974,2,0.357,1666.1,0.979,92.29,40.29,-0.017,5.22,3
P_000090,36.756233,76.527152,6284.23,1.84,146.45,-0.0386,29.55,10.15,840.9,667.5,180.4,5.7,170.6,795.2,19.4,16.2,22.7,6.6,4,0.202,336.7,0.485,3,0.002,191.9,0.168,1.55,1.31,-0.0213,1.34,1
P_000091,22.988266,75.637545,1856.88,13.71,32.01,-0.0161,36.03,-5.55,971.1,705.9,41.7,45.5,550.2,22.6,25.2,13.8,36.6,22.8,7,0.102,701.7,0.551,4,0.015,42.5,0.012,13.31,2.88,-0.0085,4.08,3
P_000092,18.817206,72.31486,4940.59,37.4,140.93,0.0642,4.85,-2.7,1118.9,822.9,139.4,13.1,47.7,12.0,18.0,12.7,23.3,10.6,7,0.464,1904.3,0.508,5,0.397,1130.5,1.038,41.84,20.88,0.0405,2.84,2
P_000093,29.727298,95.218982,476.89,0.18,238.08,-0.1001,16.54,-8.55,377.3,284.3,29.0,71.8,223.4,195.8,12.5,8.4,16.7,8.3,2,0.677,2827.0,0.369,2,0.055,116.1,0.692,0.07,0.01,0.0849,2.32,1
P_000094,11.940698,69.932212,8636.35,47.2,21.76,-0.132,24.27,-2.39,2127.6,1883.3,50.3,43.7,184.9,149.6,32.3,21.1,43.5,22.4,4,0.196,694.6,0.423,1,0.288,404.8,0.097,100.41,46.07,-0.0489,7.24,4
P_000095,33.105329,68.931178,5696.94,21.59,273.42,0.2406,44.3,3.05,485.3,364.5,0.7,0.7,54.9,42.5,12.8,8.5,17.1,8.5,1,1.2,16.5,0.627,1,0.723,344.6,0.414,10.48,13.9,-0.2402,3.64,2
P_000096,10.892198,94.736713,1245.54,3.82,200.93,0.0608,11.61,13.46,1.1,0.9,210.7,166.0,123.3,936.4,17.3,9.5,25.0,15.5,3,0.297,2985.0,0.294,3,0.044,1395.0,0.35,0.0,0.54,-0.0217,2.03,1
P_000097,33.927584,95.15394,7143.62,15.14,109.34,-0.027,2.84,-13.9,4000.0,3106.1,40.7,106.7,137.4,13.0,23.4,13.7,33.0,19.3,3,0.708,515.0,0.657,5,0.051,184.1,1.789,60.57,12.23,-0.0255,7.82,4
P_000098,25.909162,96.461056,2988.46,18.21,80.14,0.0086,15.98,-17.16,220.2,149.5,1.8,121.9,135.5,39.6,10.2,6.6,13.7,7.1,5,0.049,2807.1,0.605,2,0.213,978.0,0.308,4.01,6.15,0.0084,3.66,2
P_000099,24.44773,84.049457,281.87,9.5,332.86,-0.0835,19.88,12.78,1838.6,1389.6,97.6,49.7,439.1,109.9,13.4,10.4,16.4,6.1,6,0.27,520.4,0.438,2,0.258,542.1,0.211,17.47,0.3,0.0381,0.93,0
P_000100,23.047796,72.05765,4540.28,4.16,66.36,-0.0137,3.24,-4.15,1182.3,967.4,56.9,63.6,98.2,188.6,24.2,16.8,31.6,14.9,7,1.039,374.0,0.942,6,0.035,1263.8,0.719,4.92,2.14,-0.0125,0.19,0
P_000101,23.116765,72.990896,2702.46,5.82,57.47,-0.0707,10.26,-5.38,34.6,27.3,186.4,40.2,25.3,337.9,32.2,21.9,42.5,20.7,5,0.189,1561.2,0.54,1,0.316,215.3,0.152,0.2,1.78,-0.0596,3.2,2
P_000102,22.865137,77.587423,7613.81,9.63,287.85,0.1439,16.63,4.25,2136.4,1457.8,39.5,24.1,129.1,153.2,13.0,0.8,25.2,24.3,2,0.774,8291.1,0.752,2,0.283,1105.9,1.427,20.57,8.29,-0.137,4.21,3
